phase,position,update,slot,problem_id,dataset,math_level,content_hash,prompt_hash,prompt_tokens,truncation,old_prompt_cap,new_prompt_cap,old_cap_overflow,cap_928_overflow,new_cap_overflow,max_completion_length,combined_potential,sequence_ceiling,tokenizer_revision,prompt_identity
train,1,1,0,gsm8k:openai/gsm8k:train:4119,gsm8k,,9356cc0bb5d3b890b40acb55b8d48b78172c3adc42885b6b0d55703e3777c3aa,794d2910d669eb1b8e8ce0909e9e3f2d8cd31aa1074df23a6b6572992054799f,173,False,832,928,False,False,False,256,429,1184,989aa7980e4cf806f80c7fef2b1adb7bc71aa306,89e459da827474d9bcc66e4407b06b5f8a968ce10d0be92e830c59fd9830a994
train,2,1,1,gsm8k:openai/gsm8k:train:447,gsm8k,,b1b3003fcfabc1f2bb7e4886cb019d3ad9049624fe37cfa8066ac98d4e9c92ca,8af14de4aa06de0bbc924eaf8410fb9d69abf86fd981183d075d7566601f7ef2,163,False,832,928,False,False,False,256,419,1184,989aa7980e4cf806f80c7fef2b1adb7bc71aa306,89e459da827474d9bcc66e4407b06b5f8a968ce10d0be92e830c59fd9830a994
train,3,1,2,math:DigitalLearningGmbH/MATH-lighteval:train:1555,math,1,0054af86d7491a862068090c5ead50aedc5da446660c433588c880f288dbef2a,41e423b434e21373694c0d97f08b86b1bf0c53f2bbd0f24e49a89c41a2457942,131,False,832,928,False,False,False,256,387,1184,989aa7980e4cf806f80c7fef2b1adb7bc71aa306,89e459da827474d9bcc66e4407b06b5f8a968ce10d0be92e830c59fd9830a994
train,4,1,3,math:DigitalLearningGmbH/MATH-lighteval:train:989,math,1,028d6188eab28d4c28ebf681940035aa4b9ecb072d4945da5f19161459337e58,3ce97384c083214278682384ed578a0ab41297f1d6d322420dd617d4df462a83,123,False,832,928,False,False,False,256,379,1184,989aa7980e4cf806f80c7fef2b1adb7bc71aa306,89e459da827474d9bcc66e4407b06b5f8a968ce10d0be92e830c59fd9830a994
train,5,2,0,gsm8k:openai/gsm8k:train:2887,gsm8k,,32c0734d7a7f1b63ca8d4e9d728a01f8615b81d43ff83e74708d8ff33fde4506,f226afc87e4e87e9e4105577ff00ab4838f650ee70804c05b95c09f4b89d20e4,152,False,832,928,False,False,False,256,408,1184,989aa7980e4cf806f80c7fef2b1adb7bc71aa306,89e459da827474d9bcc66e4407b06b5f8a968ce10d0be92e830c59fd9830a994
train,6,2,1,gsm8k:openai/gsm8k:train:6910,gsm8k,,915eeea3ba4065fa37ff88a7074ff688b3baff6b39c1966d5423890f17219305,b79d794ee30ec7a0fbb5d24c53d55b003e5a6010b95eb0f232c71d808287a0fc,142,False,832,928,False,False,False,256,398,1184,989aa7980e4cf806f80c7fef2b1adb7bc71aa306,89e459da827474d9bcc66e4407b06b5f8a968ce10d0be92e830c59fd9830a994
train,7,2,2,math:DigitalLearningGmbH/MATH-lighteval:train:6367,math,1,02d2f95d7484de4d2e79c760a065e9b397d507f6ba765a109f0af4dd919f23e8,3885cc10381fcf9c1260ccd2cefcf12b419ab422e54db70309383ebe86298c40,131,False,832,928,False,False,False,256,387,1184,989aa7980e4cf806f80c7fef2b1adb7bc71aa306,89e459da827474d9bcc66e4407b06b5f8a968ce10d0be92e830c59fd9830a994
train,8,2,3,math:DigitalLearningGmbH/MATH-lighteval:train:5638,math,1,047d35ebabf9a68d59a7c541b20f9c379dafa6d394d4e892b48f04397c2e74a7,db050bbec1e5e61630d8732a0e9364c9162ae8eae97ca74e8e038d9151025f05,124,False,832,928,False,False,False,256,380,1184,989aa7980e4cf806f80c7fef2b1adb7bc71aa306,89e459da827474d9bcc66e4407b06b5f8a968ce10d0be92e830c59fd9830a994
train,9,3,0,gsm8k:openai/gsm8k:train:3379,gsm8k,,b25c768a305ae3b8fee6003df7a556c9477dba59bde586fbccc86bd547b585ed,8bbec97fb9529e98c32d594c9aa799ddd342cadcf87c32c8bfbf24aa4baa699a,140,False,832,928,False,False,False,256,396,1184,989aa7980e4cf806f80c7fef2b1adb7bc71aa306,89e459da827474d9bcc66e4407b06b5f8a968ce10d0be92e830c59fd9830a994
train,10,3,1,gsm8k:openai/gsm8k:train:652,gsm8k,,2b6b87ff6e91ffb399fba6eaa303c0366ea70e3c7295d5fbf487450bbbf33461,089f20ac3038fa7cd4c3b70906d2fb35772651988a589c36c0b7f1c4fc6a9f17,155,False,832,928,False,False,False,256,411,1184,989aa7980e4cf806f80c7fef2b1adb7bc71aa306,89e459da827474d9bcc66e4407b06b5f8a968ce10d0be92e830c59fd9830a994
